Name,Comment,Time,Likes,Reply Count
@jec_ecart,No!,2024-07-03T02:58:26Z,0,0
@darrenbrians5930,If we made everything electric. We&#39;d run out of uranium in 5 years. Have billions of tones of radioactive waste with a half-life of 4.5 billion years. With nowhere to put it.,2024-06-28T11:39:10Z,1,0
@psychiatry-is-eugenics,"Have to include all the fires - ships sinking , factory disasters .",2024-06-24T20:03:04Z,0,0
@LanxPenzenpepper,They keep on pushing this going green stuff on everyone while making said products more expensive than just the traditional ones 😂,2024-06-22T10:44:05Z,0,0
@PoyotaTrius,"Higher airparticles from tires and brakes? Man the trash carcompanies are grasping at straws, eh?",2024-06-18T06:41:16Z,0,0
@TeenaParker-ev8ld,They not green the batteries are a tome bomb waiting to go off,2024-06-05T13:20:58Z,0,0
@sirloin869,nope...,2024-05-30T15:54:21Z,0,0
@Jayjayjoe,"Ive seen all these predictions where we are more heading for a new mini ice age which will &quot;coincidentelly&quot; start after 2030. If we consider this, it&#39;s obvious that they want us to epically fail as an civilization by then since none of the &quot;green&quot; power sources like solar and wind works in winter climate. Also, how do all these EVs work in cold climate?! Hello?! I think this is why the polititians and lobbyists in EU and W E F are so stressed to implement all these insane &quot;solutions&quot;.",2024-05-28T13:31:34Z,0,0
@mauricioweber8879,Being The G... you missed several points EVs excell... complex issue to simplify,2024-05-20T14:13:09Z,0,0
@hamishlovesit4731,Well no they are not ... Proven 😂😂😂,2024-05-18T06:01:27Z,1,0
@ac1143,Carbon accounting should not be trusted until it&#39;s regulated. I can only imagine how these activists &quot;measure&quot;.,2024-05-17T02:28:44Z,0,0
@Raphael54433,"yes but what about when the battries inevatibly die and the range gets shorter and shorter, we are going to have piles of electric cars in perfect condition accept for the battries rotting for no reason, when car manufactors discontinue models will they stop producing that cars battry as well?",2024-05-16T20:39:15Z,0,0
@pranaygawand4884,1. Population degrowth(800 billion to 400 billion and so on)<br><br>2. End of consumerism,2024-05-14T02:57:50Z,0,0
@scottbivins4051,Electric cars aren&#39;t better for the Planet but what they are is a big money grab for the left. Who then gets millions of dollars to build useless Solar Farms like that abandoned one in California from an earlier Left leaning liberal wack job California Politicians. The Big Green Lie including  electric car batteries. The dirtiest child labor fiasco on Earth!,2024-05-04T04:00:49Z,0,0
@Hercub,“We have the technology but not the political will to use it” that part.,2024-04-29T19:26:08Z,0,0
@danielc3003,"Over 60% of the electricity feed into the grid is lost in conversion and transport.  There is nothing green here, the pollution is just centralized to the power station.",2024-04-26T13:54:51Z,0,0
@unnamedchannel1237,Not so green when the car is a write off after a couple of scraps on the bottom of the car,2024-04-12T22:19:37Z,0,0
@mintedlinux-1980,But electric vehicles run on Diesel powered charge points 🤡 so what your saying is electric cars are not green at all not that burning diesel is bad. tell what happens to the batteries? be honest! IV saw the fields. oh and where do you get all that lithium?  Child slavery n the mines are extremely damaging to our environment,2024-04-12T10:10:15Z,1,1
@jamesjohnson3244,So driving an ev car is more of a lifestyle change than reducing carbon emissions. Got it,2024-04-12T03:39:05Z,0,0
@roger_is_red,DUH,2024-04-11T23:01:11Z,0,0
@majorburke9735,"In the 20th century, government limited vehicle gas mileage to sell more gas and generate more gas taxes. Now they are limiting high gas mileage cars (we can get 500mpg, imagine 20x less CO2) so EVs appear more economical. While battery power creates 25% less CO2 today, they are devastating to the planet surface and fresh water supply. <br>     What the video fails to mention, is that the precious metals used in EV batteries are subsidized, and will NOT get cheaper as demand increases. Precious metals only increase with increased demand. You can expect to pay over $150,000 for a Honda Civic EV. <br>     The end goal of government is to eliminate personal transportation. (Grandma can ride a bike, in the rain.) And this video promotes eliminating personal transportation. If you have less movement, you have less freedom.",2024-04-11T06:43:37Z,0,0
@LukeFlegg,Great! So China has the most electric buses but their electricity is mostly from coal. That makes sense,2024-04-08T17:11:55Z,0,2
@JJs_playground,"You&#39;re missing a few things about petrol/gas cars. The refinement of the oil into gas, the transportation of the gasoline, the storage of gasoline at petrol stations, the oil changes/ oil filters throughout the lifetime of the ICE car, the reduced efficiency of the gas car over time.<br><br>Whereas EVs get cleaner overtime ( as we switch from coal to cleaner forms of power production), ICE cars get dirtier over time.",2024-03-30T14:56:21Z,4,4
@stevehayward1854,"EV&#39;s dont produce pollution on the street and that is their main virtue.<br>They dont fill our bodies with poisons and particulate matter especially PM2.5 , as ICE cars do, burning fossil fuels, which enters our blood stream through the lungs and spreads everywhere, including our brains.<br>PM 2.5 cause all sorts of health problems including cancers, asthma, mental health etc which effects more and more people, especially children every year. <br>Have you noticed the deterioration in childrens health over the decades as the ICE car has risen in use, in London for the first time, a child had car pollution as the reason for her death.",2024-03-30T07:52:55Z,0,0
@engineeringtheweirdguy2103,Also is anyone going to mention that fuel refineries are the largest consumers of cobalt by weight globally. Which use it to remove sulphur from petrol and diesel? No? Nobody?,2024-03-29T04:49:50Z,3,0
@engineeringtheweirdguy2103,“Higher particle emissions from tire wear according to some study” - according to one study.. one thoroughly debunked study that didn’t even use EV’s in said study.,2024-03-29T04:49:10Z,1,0
@aknetworkedit,I don&#39;t see what the fuss is. You car buy an electrical vehichle in any colour.,2024-03-24T23:59:03Z,0,0
@aislinnkeilah7361,"Problem with “green” energy is that it’s not environmentally clean. The heavier lithium battery cars wear tires out faster creating more airborne particle pollution. The heavy metals despoil the environment in their mining and eventual disposal with highly toxic minerals. They also require energy to be charged - most often fossil fuel energy. Hydrogen might be a far better solution.<br><br>On the other hand microplastics, pesticides and pharmaceuticals pose a genuine threat to human survival.",2024-03-19T23:53:29Z,1,1
@megapangolin1093,"We could make the EVs much, much smaller, about the size of a 4 seat smart car for 90% of journeys, at no more than a tonne weight- eg Dacia Spring, small battery, light and charge at home.  Noone needs s 2.5 tonne EV to go to the shops or school.  They should be banned.  Secondly, a lot less moving parts, but about a thousand times more electronic chips and relays that all need software updates all the time.  It is absolutely clear (see Nissan) that software updates will be stopped after a few years, like with smartphones, where the life is about 5 years for updates, so the EV will have to be thrown away (recycled- which is energy intensive).  My ICE car is 21 years old, never goes wrong and does 45mpg, it is far more carbon efficient than any current EV.  No credit is given for this reality.",2024-03-18T18:04:29Z,1,1
@notlands4128,This is so obviously sponsored by an oil corporation,2024-03-17T22:02:58Z,3,1
@TrenyCwm,No,2024-03-17T09:53:09Z,0,0
@timothydevries383,"If the answer was as simple as putting 1000 laptop batteries in a vehicles floor pan companies like Toyota would have been all in on BEVs years ago. There reality is its just not a better solution, including overall CO2, especially compared to Hybrids.",2024-03-09T03:44:42Z,0,1
@ihsanizwer,The battery production is not a one time thing. You&#39;d need more batteries per car,2024-03-02T02:31:38Z,0,0
@ajazahmad582,Electrical cars 🚗 are sustainable😅,2024-03-01T11:18:23Z,0,0
@deany1980,"This talks as though petrol is magic and magically turns up without effort at petrol stations. Petrol additionally using the likes of Cobolt. The power grid, sure, countries are cleaning up the power grid",2024-02-16T06:47:32Z,1,0
@NeilNileStudios,"<a href=""https://www.youtube.com/watch?v=Chp9VlSs25c&amp;t=225"">3:45</a> that’s what I’ve been saying",2024-02-15T12:24:36Z,0,0
@flobbie87,"&quot;Water lost&quot;, &quot;carbon created&quot;, what are you talking about? Water isn&#39;t lost. Carbon isn&#39;t created.",2024-02-09T12:06:53Z,1,0
@badabing8884,That’s what I am doing - reducing my unnecessary car journeys and walking/cycling or getting public transport. <br><br>I just don’t see how the UK replaces 35m ICE vehicles with just EVs. Especially with the lack of infrastructure and Grid not being able to cope. <br><br>Either cut down - too many cars on roads or replace with Hybrids is the other solution. Think about when you use the car or share/borrow get taxis (they need to be green.),2024-02-08T10:20:27Z,0,1
@craighutchinson6856,1 ton of lithium mined = 5 to 15 tons of carbon<br>How much carbon am i produ ting as i smoke my cigarette while watching this video,2024-02-05T17:06:26Z,0,0
@randomracki9453,In short EV’s are not as green as you would think over its lifespan,2024-02-03T07:19:20Z,0,0
@iavathar2120,What about using those lifetime battery&#39;s that use a radioactive isotope?,2024-02-01T19:34:17Z,0,0
@alvarooryan3084,Take a f.... walk y&#39;all!,2024-02-01T17:20:59Z,0,0
@robertthatcher-ef2im,"The claim that Electric Vehicles are environmentally friendly is a huge lie or a major misconception  because the environmental impact equation is computed only after the battery is charged when one adds required battery charging process to the environmental impact equation one finds electric vehicles pollute much more than gas or diesel powered vehicles. <br>Most power on the USA electric grid is fossil fuels (coal, diesel  or gas) about 70%, nuclear provides about 20% and so called &quot;Green&quot; energy (wind, solar  and hydro) about 10% <br>     Fossil fuel plants and nuclear plants  are about 30% to 35% efficient. <br>     Line losses from the power plant to the end user are somewhere between 7 to 10%.<br>     Battery charger efficiency is between 80% to 70%<br>     Battery efficiency is about 70% for a new battery and about 50% for an old one. Note battery efficiency is significantly affected by temperature (as battery cools it becomes less efficient. )<br>     Efficiency of EV is about 70% but add required lights, all it&#39;s electric gadgets, compartment heating, Window defrosting and air conditioning it&#39;s efficiency drops to about 60%<br>The complete environmental impact equation:<br>                                                 Best case.     Worst case<br>Fossil fuel &amp; nuclear plants  35%              30%<br>Line losses                                    -7%            -10%<br>     Equals.                                     28%             20%<br>Battery charger.                     X80%          X70%<br>      Equals.                                    22.4%         14%<br>Battery efficiency.                  X70%          X50%<br>      Equals.                                    15.7%            7%<br>EV efficiency.                            X70%          X60%<br>     Grand total.                               9.8%           4 .2%<br>What all this means is when charging from the electric grid to get just 1 useful watt at the EV, best case over 9 watts are used at the power plant and worst case 23 watts are used. This is far from being environmentally friendly.",2024-01-31T14:34:46Z,0,0
@utubeftw100,Recent studies indicate that electric cars are not more reliable than their fossil fuel burning counterparts.,2024-01-30T20:03:20Z,0,0
@pioternietz496,"Less traffic jams in cities !<br>Während der Herrschaft von Ladislaus (Władysław) II. Jagiełło Ende des 14. Jahrhunderts wurde Krakau ( Poland ) Mitglied der Hanse,",2024-01-30T17:41:06Z,0,0
@petes9878,To change &#39;the collective mind&#39; is much more difficult than to change technologies. It simply cannot  be done. Evolution marches on.,2024-01-24T14:50:55Z,0,0
@amrgardner,It’s clear that the starting point is reducing car use.,2024-01-20T07:20:08Z,0,0
@maszkalman3676,You stil lie about the ev-s but it&#39;s the guardian we talk about...,2024-01-19T17:50:34Z,0,0
@piotrniec9638,Electric vehicles: Can &#39;lightweighting&#39; combat range anxiety?,2024-01-15T19:04:12Z,0,1
@emsik185,use public transport to get out from town to a nature spots.<br>Get the government to deliver better buses trains and maybe in town it will work but between towns nothing better than a car. <br>Globalists agendas to control us is just disgusting,2024-01-10T15:51:08Z,0,0
@bazzer621,Electric vehicles are about as green as coal fired generating plants!,2024-01-10T09:24:21Z,0,0
@pioternietz496,"But with today&#39;s lithium-ion batteries, EVs can go so far.",2024-01-09T07:31:16Z,0,0
@nonenone5016,ha,2024-01-08T11:10:34Z,0,0
@maguires,One thing that is not mentioned is the plan by governments to charge EV drivers a road user fee to pay for roading infrastructure. Currently this is poorly funded by fuel taxes. EV drivers are still getting a free ride.,2023-12-30T14:28:06Z,0,0
@albertfernandez2837,I think buying used cars and taking public transport when practical is the best option until governments provide clean electricity. <br><br>It&#39;s much more sustainable to buy a one year old hybrid and use it for 10 years than ordering and building a new electric car every three years because there&#39;s a better model.,2023-12-29T21:03:45Z,0,1
